Puunro	X	Y	Hmax	Hmean	h30	h50	h70	h90	p30	p50	p70	p90	puulaji	dbh_mm	h_dm
51146	50973.2	22117.86	9.521	4.625465	2.751	3.773	4.7522	9.2878	0.581395	0.790698	0.790698	0.790698	lehmus	104	NA
51148	50967.81	22116.07	5.019	3.715419	3.263	3.668	4.161	4.803	0.193548	0.322581	0.645161	0.806452	lehmus	108	58
51150	51124.07	22248.29	5.27	3.609452	2.8942	3.643	4.394	4.8718	0.342466	0.479452	0.630137	0.890411	lehmus	109	68
51152	51129.54	22253.12	4.478	3.237605	2.9192	3.204	3.5988	4.1068	0.255814	0.488372	0.72093	0.930233	lehmus	97	NA
51154	51134.3	22258.47	5.88	3.8361	3.1838	3.915	4.5133	5.1412	0.271429	0.5	0.742857	0.928571	lehmus	133	76
51156	51138.74	22263.04	5.774	3.749875	2.9283	3.93	4.4402	5.2284	0.333333	0.458333	0.729167	0.9375	lehmus	127	NA
51158	51144.23	22268.17	6.155	3.984876	3.2578	4.02	4.8346	5.2454	0.292135	0.516854	0.741573	0.955056	lehmus	134	79
51160	51149.04	22273.53	5.763	3.565655	2.7104	3.277	4.4476	4.9662	0.472727	0.618182	0.763636	0.963636	lehmus	118	NA
51162	51153.49	22278.51	6.198	3.993275	3.0047	4.356	4.7403	5.3027	0.325	0.4	0.75	0.975	lehmus	133	77
51164	51160.3	22284.12	8.921	3.973333	2.8583	3.8345	4.4616	5.1239	0.555556	0.925926	0.925926	0.925926	lehmus	108	NA
51166	51163.33	22287.92	4.725	3.746267	3.6846	3.889	4.1868	4.4762	0.133333	0.2	0.4	0.8	lehmus	103	62
51168	51168.49	22293.05	5.331	3.321769	2.367	3.547	3.9594	4.689	0.461538	0.589744	0.820513	0.974359	lehmus	120	NA
51170	51172.71	22298.35	5.91	3.695465	2.784	3.86	4.451	4.991	0.380282	0.507042	0.788732	0.957746	lehmus	118	72
51172	51177.54	22302.7	6.001	3.8028	2.9122	3.825	4.6674	5.2006	0.378947	0.526316	0.726316	0.957895	lehmus	120	NA
51174	51183.08	22307.77	5.725	3.79169	2.9749	3.9525	4.5251	5.0428	0.357143	0.464286	0.72619	0.940476	lehmus	114	79
51176	51188.28	22312.95	5.464	3.698544	2.904	3.81	4.463	4.9378	0.315789	0.491228	0.649123	0.929825	lehmus	118	NA
51178	51193.89	22317.76	5.433	3.493577	2.679	3.34	4.266	4.985	0.394366	0.605634	0.774648	0.929577	lehmus	122	68
51180	51199.86	22322.15	9.068	4.635023	3.174	4.1185	4.843	8.781	0.5	0.813953	0.825581	0.825581	lehmus	114	NA
51182	51203.41	22328.27	5.622	3.677587	2.8504	3.72	4.3954	4.9266	0.349206	0.507937	0.746032	0.952381	lehmus	107	64
51184	51208.12	22333.19	6.183	4.058958	3.2236	4.0315	4.7768	5.5027	0.305556	0.5	0.694444	0.902778	lehmus	136	NA
51186	51213.02	22338.37	6.752	4.206099	3.288	4.124	5.033	5.929	0.352113	0.535211	0.71831	0.943662	lehmus	114	65
51188	51220.19	22343	9.005	4.459224	3.3844	4.615	5.229	5.8827	0.357143	0.77551	0.94898	0.94898	lehmus	147	NA
51190	51223.14	22348.11	5.744	3.604129	2.5294	3.8345	4.4824	4.9184	0.403226	0.516129	0.774194	0.983871	lehmus	131	75
51192	51229	22353.25	5.263	3.338558	2.5641	3.1965	4.0243	4.5577	0.403846	0.615385	0.788462	0.942308	lehmus	109	NA
51194	51233.76	22358.6	5.791	3.884	3.133	4.1235	4.575	5.087	0.304348	0.413043	0.717391	0.956522	lehmus	119	72
51196	51240.3	22364.84	9.026	3.999671	2.746	4.014	4.6788	5.671	0.547945	0.890411	0.958904	0.958904	lehmus	113	NA
51198	51242.96	22368.41	5.511	3.424757	2.8584	3.3265	3.7984	4.802	0.371429	0.685714	0.828571	0.957143	lehmus	116	71
51200	51248.12	22372.98	6.181	3.867327	2.9525	3.7065	4.688	5.3977	0.418367	0.540816	0.77551	0.959184	lehmus	143	NA
51202	51242.41	22379.17	4.44	2.952065	2.4385	2.708	3.137	4.184	0.543478	0.717391	0.76087	0.891304	lehmus	100	63
51204	51238.14	22373.3	5.001	3.192789	2.622	3.0515	3.6155	4.3705	0.447368	0.644737	0.828947	0.947368	lehmus	118	NA
51206	51232.75	22368.74	5.591	3.527017	2.8354	3.4115	4.03	4.8914	0.37931	0.568966	0.793103	0.913793	lehmus	145	77
51208	51228.17	22364.12	6.022	3.715239	2.6665	3.7	4.535	5.4325	0.369565	0.565217	0.804348	0.913043	lehmus	140	NA
51210	51223.22	22359.15	4.7	3.248333	2.6389	3.253	3.5813	4.4065	0.388889	0.555556	0.722222	0.888889	lehmus	111	65
51212	51212.97	22350.33	8.788	4.017061	2.9284	3.41	4.5864	6.0002	0.612245	0.897959	0.897959	0.897959	lehmus	131	NA
51214	51207.82	22343.76	6.257	3.956314	3.05	4.053	4.795	5.271	0.352941	0.470588	0.72549	0.960784	lehmus	122	77
51216	51203.62	22339.07	5.353	3.323705	2.744	3.134	3.876	4.572	0.442623	0.622951	0.819672	0.95082	lehmus	127	NA
51218	51197.64	22333.56	5.995	3.723463	2.7826	3.737	4.3434	5.3064	0.373134	0.626866	0.761194	0.955224	lehmus	132	74
51220	51188.77	22323.69	5.726	3.717034	3.0713	3.781	4.385	5.1316	0.306818	0.5	0.772727	0.920455	lehmus	136	NA
51222	51183.01	22318.34	5.589	3.449941	2.869	3.38	3.767	4.859	0.392157	0.705882	0.882353	0.960784	lehmus	124	72
51224	51177.79	22313.32	5.869	3.730783	2.8034	3.813	4.392	5.149	0.333333	0.521739	0.811594	0.942029	lehmus	116	NA
51226	51172.42	22307.93	5.299	3.576071	2.9719	3.498	4.2258	4.95	0.309524	0.571429	0.714286	0.880952	lehmus	115	70
51228	51167.82	22303.07	6.21	3.708345	2.7308	3.515	4.4016	5.539	0.418182	0.636364	0.818182	0.927273	lehmus	128	NA
51230	51162.66	22298.11	5.5	3.514608	2.804	3.602	3.994	4.742	0.372549	0.54902	0.784314	0.941176	lehmus	119	67
51232	51157.81	22292.66	5.115	3.335	2.6012	3.082	3.9945	4.7695	0.416667	0.625	0.729167	0.833333	lehmus	112	NA
51234	51152.76	22288.31	5.123	3.701071	2.9934	3.935	4.3327	4.8179	0.25	0.392857	0.607143	0.821429	lehmus	114	67
51236	51148.2	22283.77	5.37	3.436882	2.6935	3.328	3.9862	4.7245	0.352941	0.617647	0.764706	0.941176	lehmus	113	NA
51238	51143.28	22278.84	6.517	4.142733	3.268	4.173	4.769	5.718	0.293333	0.48	0.76	0.906667	lehmus	134	77
51240	51138.3	22273.37	5.392	3.769345	3.1096	3.6315	4.3378	5.0489	0.206897	0.431034	0.586207	0.810345	lehmus	119	NA
51242	51133.73	22268.61	5.802	4.171964	3.337	4.565	4.94	5.492	0.25	0.410714	0.517857	0.821429	lehmus	126	72
51244	51129.24	22263.7	5.555	3.688519	3.0724	3.5675	4.2669	5.1635	0.296296	0.555556	0.722222	0.888889	lehmus	113	NA
51246	51124.09	22258.58	5.662	3.565339	2.8626	3.326	4.2464	4.8698	0.372881	0.576271	0.694915	0.949153	lehmus	116	69
51248	51118.63	22253.41	4.593	3.22317	2.9162	3.301	3.5526	3.977	0.212766	0.468085	0.787234	0.957447	lehmus	93	NA
51290	48181.68	19610.04	10.378	6.68149	5.779	6.2915	6.9192	9.1855	0.025381	0.263959	0.771574	0.837563	lehmus	282	96
51294	48343.35	19999.12	8.176	5.22933	4.6108	5.1635	5.7182	6.7873	0.018519	0.266667	0.618519	0.851852	lehmus	249	NA
51296	48346.85	19994.44	10.906	6.065037	4.958	5.795	6.848	8.951	0.190871	0.518672	0.79668	0.900415	lehmus	256	NA
51298	48579.4	18569.33	16.577	10.186101	7.6676	10.0795	12.7963	15.0935	0.170213	0.429787	0.643617	0.904255	lehmus	174	98
51370	49685.99	20942.36	12.414	7.187994	5.752	7.095	8.9856	10.6048	0.2	0.488889	0.685714	0.936508	koivu	180	NA
51720	47279.07	21774.67	6.719	4.604071	4.1125	4.549	5.1625	6.049	0.126984	0.301587	0.595238	0.825397	tammi	137	64
51817	48163.05	20112.66	10.076	6.287673	5.4074	6.517	7.5078	9.2554	0.236364	0.436364	0.690909	0.818182	pilari	164	125
51822	50059.76	19181.27	19.756	9.919133	6.987	9.557	11.887	16.6085	0.322799	0.608352	0.835214	0.933409	poppeli	530	210
51868	50671.72	18852.39	7.866	5.487828	4.824	5.483	5.9688	7.0886	0	0.045977	0.321839	0.655172	lehmus	152	88
51920	51045.7	22169.68	5.978	3.796458	2.8354	3.7845	4.5631	5.158	0.375	0.541667	0.75	0.916667	lehmus	112	73
51921	51044.79	22180.3	4.887	3.43488	3.087	3.365	3.8392	4.3582	0.2	0.48	0.64	0.88	lehmus	107	NA
