Puunro	X	Y	Hmax	Hmean	h30	h50	h70	h90	p30	p50	p70	p90	puulaji
7254	47876.82	17779.38	7.026	5.113275	4.6919	5.379	5.734	6.4277	0.05	0.25	0.45	0.775	lehmus
7255	47868.58	17778.37	7.222	4.937015	4.324	5.037	5.5708	6.3388	0.014706	0.294118	0.529412	0.808824	lehmus
7256	47860.2	17777.49	6.801	4.333056	3.8253	4.3195	4.8117	5.3908	0.111111	0.481481	0.777778	0.962963	lehmus
7257	47852.05	17777.37	7.428	4.852606	4.2664	4.6865	5.2259	6.3197	0.057692	0.326923	0.682692	0.875	lehmus
7258	47841.87	17777.81	7.732	5.323302	4.5895	5.326	5.893	7.5665	0.12069	0.37931	0.715517	0.87931	lehmus
7267	47772.15	17772.33	6.632	4.578373	4.0142	4.42	5.011	5.7298	0	0.118644	0.474576	0.711864	lehmus
7268	47764.22	17771.44	6.77	4.112412	3.5384	4.265	4.6732	5.3532	0.28866	0.463918	0.824742	0.969072	lehmus
7269	47756.44	17770.23	6.584	4.401038	3.7007	4.306	5.0853	5.6003	0.067308	0.432692	0.634615	0.903846	lehmus
7270	47748.79	17770.57	7.67	4.636495	3.891	4.22	5.446	6.461	0.087912	0.56044	0.692308	0.879121	lehmus
7271	47741.51	17769.66	7.41	4.934075	4.266	4.919	5.5982	6.3282	0.074627	0.328358	0.597015	0.835821	lehmus
7272	47734.27	17769.32	6.379	4.472481	4.0408	4.336	4.6958	5.5136	0.012987	0.311688	0.74026	0.909091	lehmus
7274	47719.06	17768.1	6.74	4.653561	4.0537	4.6335	5.3356	5.8985	0.109756	0.426829	0.670732	0.963415	lehmus
7276	47691.7	17752.4	7.213	4.813481	4.023	4.648	5.542	6.7102	0.128342	0.449198	0.695187	0.855615	lehmus
7277	47677.56	17750.85	5.038	3.336155	2.937	3.236	3.844	4.144	0.28169	0.619718	0.859155	0.985915	lehmus
7287	47597.87	17719.42	7.8	5.478237	4.8468	5.474	6.2398	7.1788	0.096296	0.25679	0.550617	0.809877	vaahtera
7288	47590.81	17722.42	7.074	5.218477	4.6383	5.3525	5.8656	6.5065	0.045455	0.291667	0.55303	0.905303	vaahtera
7357	49520.42	18218.5	11.819	7.446642	6.4294	7.24	8.5666	10.3452	0.096197	0.331096	0.706935	0.917226	lehmus
